Card Title,Property Type,Location,Price_numeric,Area_sqft,Bedrooms,Bathrooms,Parking Spaces,Floors,Year,Furnished,Servant Quarters,Dining Room,Kitchens,Study Room,Prayer Room,Gym,Store Rooms,Lounge or Sitting Room,Laundry Room,Community Lawn or Garden,Community Gym,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Kids Play Area,Community Swimming Pool,Mosque
"Discover Luxury Living In This Meticulously Designed 2 Kanal House In DHA Phase 7, Near RAYA Fairways, Solid Build, Hot Location.",House,"DHA Phase 7, DHA Defence",119900000.0,10890.0,7.0,8.0,6.0,3.0,2025.0,Yes,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Elegant 2 Kanal Home A Perfect Blend Of Luxury And Comfort, Near DOLMEN MALL, Top Location, Facing Park, Solid Build, In DHA Phase 6 At Reasonable Price",House,"DHA Phase 6, DHA Defence",137500000.0,10890.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"100% Original Ad A Perfect Blend Of Luxury And Comfort, Near DOLMEN MALL, Top Location, Facing Park, Solid Build, In DHA Phase 6 At Reasonable Price",House,"DHA Phase 6, DHA Defence",89500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A 12 Marla House In Lahore Is On The Market For sale,House,"Askari 11 - Sector A, Askari 11",52500000.0,3267.0,4.0,5.0,4.0,,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Stunning House Is Up For Grabs In Askari 11 - Sector B Lahore,House,"Askari 11 - Sector B, Askari 11",82000000.0,5445.0,4.0,5.0,4.0,,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Centrally Located House Available In Askari 10 For sale,House,"Askari 10, Askari",53000000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New Luxury Full House Available For Sale In BB Bock Bahria Town With Original Pics Attached,House,"Bahria Town - Block BB, Bahria Town - Sector D",18500000.0,1361.25,3.0,5.0,,,2025.0,No,No,Yes,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
100% Original Pics - 6 Marla Corner Victorian Design House Available For Sale At Prime Location- Must be See,House,"DHA 9 Town - Block A, DHA 9 Town",22500000.0,1361.25,4.0,4.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand New House For Sale In LDA Avenue One Raiwind Road Lahore Pakistan,House,"LDA Avenue, Lahore",31700000.0,2722.5,6.0,7.0,2.0,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
House For Sale In Khayaban-E-Amin,House,"Khayaban-e-Amin, Lahore",46500000.0,4900.5,6.0,6.0,2.0,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prime Location 5 Marla House Situated In Khayaban-e-Amin - Block C For sale,House,"Khayaban-e-Amin - Block C, Khayaban-e-Amin",18500000.0,1361.25,3.0,4.0,1.0,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"10 Marla 3 Bed Flat For Sale In Askari 11, Lahore",Flat,"Askari 11 - Sector D, Askari 11",38000000.0,2722.5,3.0,3.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7 Marla Brand New House For Sale In Lake City Sector M7 Block C,House,"Lake City, Raiwind Road",32500000.0,1905.75,,,,,2025.0,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Park Facing & On 45ft Wide Road 10 Marla Brand New House For Sale In M-2A Lake City Raiwind Road Lahore,House,"Lake City - Sector M-2A, Lake City",57000000.0,2722.5,6.0,7.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7 Marla Brand New House For Sale In Lake City - Sector M7C-3 Raiwind Road Lahore,House,"Lake City - Sector M7 - Block C3, Lake City - Sector M-7",29000000.0,1905.75,3.0,4.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand New Beautiful House Is Available For Sale On Easy Instalments,House,"Lake City, Raiwind Road",49500000.0,2722.5,5.0,5.0,,2.0,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One Bedroom Full Furnished Apartment For Sale In Shah Jamal On Easy Monthly Instalments,Flat,"Shah Jamal, Lahore",11800000.0,626.175,1.0,1.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Beautiful House Is Available For Sale On Easy Instalments,House,"DHA Phase 7, DHA Defence",85000000.0,5445.0,5.0,5.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Flat For Sale in Askari 10 Lahore Cantt.,Flat,"Askari 10 - Sector F, Askari 10",34500000.0,2722.5,3.0,3.0,,,2025.0,No,1,Yes,1,No,No,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No
4-Marla House for Sale Al Rehman Garden Phase 2,House,"Al Rehman Phase 2 - Block K, Al Rehman Garden Phase 2",15000000.0,1089.0,3.0,4.0,1.0,2.0,2025.0,No,2,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Fully Furnished 1 Kanal House In DHA Phase 7, Near RAYA Fairways, Solid Build, Hot Location.",House,"DHA Phase 7, DHA Defence",74500000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,Yes,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"100% Original Deal 1 Kanal Ultra Luxury Bungalow With Swimming Pool, Furniture &Amp; Solar DHA Phase 6",House,"DHA Phase 6, DHA Defence",82500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL ULTRA LUXURY BUNGALOW WITH BASEMENT & 15 KV SOLAR FULLY FURNISHED MODERN DESIGN DHA PHASE 6 100% ORIGINAL DEAL,House,"DHA Phase 6 - Block H, DHA Phase 6",87500000.0,5445.0,5.0,6.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"1 KANAL ULTRA MODERN HOUSE WITH BEAUTIFUL LAWN, TERRACE, BBQ AREA & BASEMENT DHA PHASE 7 100% ORIGINAL DEAL",House,"DHA Phase 7, DHA Defence",70500000.0,5445.0,6.0,7.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Ultra Top-Notch Fully Furnished 1 Kanal Luxury Bungalow with Basement & Rooftop DHA Phase 6, Hot Location Near Raya & Park",House,"DHA Phase 6 - Block H, DHA Phase 6",76900000.0,5445.0,6.0,7.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Discover Luxury Living In This Meticulously Designed 1 Kanal House In DHA Phase 7,House,"DHA Phase 7, DHA Defence",79900000.0,5445.0,5.0,6.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Exclusive 20 Marla Modern Furnished Bungalow Basement | Rooftop Sitting | Premium Furniture | 100% Original Deal DHA Phase 7 Hot Location,House,"DHA Phase 7 - Block U, DHA Phase 7",71500000.0,5445.0,5.0,6.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Brand New Modern Design Bungalow for Sale | DHA Phase 7 Lahore,House,"DHA Phase 7, DHA Defence",103500000.0,5445.0,5.0,6.0,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Looking For A Flat In Askari 11,Flat,"Askari 11, Askari",25500000.0,2722.5,3.0,3.0,2.0,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Buying A Flat In Lahore?,Flat,"Askari 11, Askari",33500000.0,3267.0,4.0,5.0,2.0,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Find Your Ideal Flat In Lahore Under Rs. 31500000,Flat,"Askari 11, Askari",31500000.0,2722.5,3.0,3.0,2.0,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Flat For sale In Askari 11 - Sector D Lahore,Flat,"Askari 11 - Sector D, Askari 11",34000000.0,2722.5,3.0,3.0,2.0,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One Kanal Beautiful Modern Bungalow Available For Sale In DHA Phase 7 Lahore,House,"DHA Phase 7 - Block P, DHA Phase 7",64500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
House Available For sale In DHA Phase 6 - Block L,House,"DHA Phase 6 - Block L, DHA Phase 6",237500000.0,5445.0,6.0,6.0,2.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand New Modern Design House For Sale In DHA Prime Location,House,"DHA Phase 7, DHA Defence",39900000.0,2722.5,4.0,6.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Kanal Farm House For Sale Bedia Road Lahore,House,"Bedian Road, Lahore",21500000.0,16335.0,7.0,6.0,1.0,2.0,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"4 Kanal Luxurious Farmhouse For Sale Bedian Road, Lahore",House,"Bedian, Bedian Road",55000000.0,21780.0,3.0,3.0,,1.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Beautiful Dream House Hot Location,House,"Al-Ahmad Garden Housing Scheme, GT Road",13200000.0,1361.25,4.0,4.0,1.0,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Fully Furnished 23 Marla House In DHA Phase 7, Near RAYA Fairways, Solid Build, Hot Location",House,"DHA Phase 7, DHA Defence",69900000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,Yes,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Park Facing & On 45ft Wide Road 10 Marla Brand New House For Sale In M-2A Lake City Raiwind Road Lahore,House,"Lake City - Sector M-2A, Lake City",57000000.0,2722.5,6.0,7.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4-Marla House for Sale Al Rehman Garden Phase 2,House,"Al Rehman Phase 2 - Block K, Al Rehman Garden Phase 2",15000000.0,1089.0,3.0,4.0,1.0,2.0,2025.0,No,2,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-Marla House for Sale Lake city M-5,House,"Lake City - Sector M-5, Lake City",47500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
