Card Title,Property Type,Location,Price_numeric,Area_sqft,Bedrooms,Bathrooms,Parking Spaces,Floors,Year,Furnished,Servant Quarters,Dining Room,Kitchens,Study Room,Prayer Room,Gym,Store Rooms,Lounge or Sitting Room,Laundry Room,Community Lawn or Garden,Community Gym,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Kids Play Area,Community Swimming Pool,Mosque
Fair-Priced Corner 5 Marla House Available In Bismillah Housing Scheme - Hussain Block,House,"Bismillah Housing Scheme - Hussain Block, Bismillah Housing Scheme",21000000.0,1361.25,4.0,5.0,,,2025.0,No,No,No,2,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
Prime Location House Sized 10 Marla Is Available For Sale In Bismillah Housing Scheme - Abu Bakar Block,House,"Bismillah Housing Scheme - Abu Bakar Block, Bismillah Housing Scheme",46000000.0,2722.5,6.0,7.0,2.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installment Plan 7 Marla Luxury Designer House In Lake City Lahore,House,"Lake City, Raiwind Road",33000000.0,1905.75,4.0,5.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Owner Build 10 Marla Renovated House Available For Urgent Sale,House,"DHA Phase 1, DHA Defence",36500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Designer House,House,"Punjab Coop Housing Society, Lahore",52500000.0,2722.5,5.0,6.0,2.0,2.0,2025.0,Yes,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9 MARLA DESIGNER HOUSE FOR SALE,House,"DHA Phase 4 - Block KK, DHA Phase 4",62000000.0,2450.25,4.0,5.0,2.0,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Beautiful House,House,"Punjab Coop Housing Society, Lahore",46000000.0,2722.5,4.0,6.0,3.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100% ORIGINAL ADD 1 KANAL BRAND NEW ULTRA MODERN SUPER STYLISH LUXURY BUNGALOW FOR SALE NEAR TO PACKAGES MALL.,House,"DHA Phase 3 - Block XX, DHA Phase 3",102500000.0,7078.5,6.0,8.0,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Reserve A Prime Location House Of 1 Kanal Now In DHA Phase 3 - Block X,House,"DHA Phase 3 - Block X, DHA Phase 3",91800000.0,5445.0,6.0,7.0,3.0,,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
New Furnished House Good Location,House,"DHA Phase 11 - Halloki Gardens, DHA Defence",30000000.0,2178.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stylish 10 Marla Brand New House For Sale In Paragon City Imperial 1 Block | Modern Design & Prime Location!,House,"Paragon City - Imperial 1 Block, Paragon City",44500000.0,2722.5,3.0,3.0,2.0,2.0,2025.0,No,No,Yes,1,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No
Full Furnished Studio Apartment For Sale In Shah Jamal On Easy Monthly Installments,Flat,"Shah Jamal, Lahore",6598000.0,353.925,1.0,1.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla House Is Available For Sale On Easy Installments,House,"Lake City, Raiwind Road",26000000.0,1361.25,3.0,4.0,,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Facing Park Investor Rate House,House,"Central Park Housing Scheme, Lahore",18500000.0,1361.25,4.0,4.0,,,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand New Modern Design House Available For Sale In Lake City Meadows (Ex) State Life Society,House,"Lake City Meadows, Lahore",40000000.0,2722.5,5.0,6.0,2.0,2.0,2025.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Centrally Located House For sale In DHA Phase 6 - Block D Available,House,"DHA Phase 6 - Block D, DHA Phase 6",480000000.0,10890.0,6.0,6.0,4.0,,2025.0,Yes,1,Yes,2,Yes,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Lash Green Lawn + One Kanal Brand New Spanish Design Most Beautiful Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Commercial Market,House,"DHA Phase 3 - Block W, DHA Phase 3",130000000.0,8167.5,5.0,6.0,5.0,,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New 5 Marla Classical Design House For Sale In DHA Rahbar Phase 11,House,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",23500000.0,1361.25,3.0,3.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Luxury Living! 1 Kanal Corner Fully Furnished Designer Bungalow With Full Basement For Sale In DHA Phase 5 |,House,"DHA Phase 5 - Block H, DHA Phase 5",250000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Signature Townhouses - Luxury 2-Bedroom Apartments on Easy Installments | Handsome Investment | High Rental Value,Flat,"Etihad Town Phase 1, Etihad Town",9900000.0,1361.25,2.0,2.0,1.0,,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Zameen EON Redefining Luxury Living In Lahore Loft Apartment/Penthouse Also Available,Flat,"Zameen EON, NSIT City",18000000.0,544.5,,,,,2025.0,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New Stylish Design House For Sale,House,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",24300000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Your Dream 2 Kanal House Is Available In IEP Engineers Town - Block D2,House,"IEP Engineers Town - Block D2, IEP Engineers Town - Sector A",125000000.0,10890.0,6.0,6.0,4.0,,2025.0,No,1,Yes,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Modern Designer Elegant Royal NEAR DOLMAN MALL,House,"DHA Phase 6, DHA Defence",99500000.0,5445.0,5.0,5.0,2.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
With Reasonable Price 5 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",23500000.0,1361.25,3.0,4.0,,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA BRAND NEW HOUSE SOLID CONSTRUCTION IDEAL LOCATION IN LDA APPROVED AREA AVAILABLE FOR SALE IN NLC,House,"New Lahore City, Lahore",16500000.0,1361.25,3.0,4.0,,,2025.0,No,Yes,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Marla Brand New 1st Entry House For Sale In Jubilee Town Lahore,House,"Jubilee Town - Block C, Jubilee Town",16000000.0,816.75,5.0,6.0,2.0,3.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100% ORIGNAL MODERN DESIGN 1 KANAL BUNGALOW FOR SALE IN DHA PHSE 6 BLOCK K Lahore,House,"DHA Phase 6 - Block K, DHA Phase 6",103500000.0,5445.0,5.0,6.0,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
KANAL FULL BASEMENT FULLY FURNISEH EYE CATCHING SUPERB LUXURY BUNGALOW FOR SALE,House,"DHA Phase 6 - Block L, DHA Phase 6",116500000.0,5445.0,6.0,7.0,,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
KANAL FURNISEH EYE CATCHING SUPERB LUXURY BUNGALOW FOR SALE,House,"DHA Phase 7 - Block S, DHA Phase 7",73900000.0,5445.0,5.0,6.0,,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla House For Sale On Installment In Bahria Town Lahore,House,"Bahria Town - Ghaznavi Block, Bahria Town - Sector F",22500000.0,1361.25,4.0,4.0,,,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DHA RAHBAR SEC. 2 LIKE NEW HOUSE FOR SALE MARLA. 05,House,"DHA 11 Rahbar Phase 2 - Block J, DHA 11 Rahbar Phase 2",19000000.0,1361.25,3.0,4.0,,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Full Furnished One Bedroom Studio Apartment For Sale In Shah Jamal On Easy Monthly Instalments,Flat,"Shah Jamal, Lahore",6300000.0,326.7,1.0,1.0,,,2025.0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DHA RAHBAR HALLOKI GARDEN SEC 03 LIKE NEW DOUBLE UNIT HOUSE FOR SALE,House,"Halloki Gardens - Block A, DHA Phase 11 - Halloki Gardens",31000000.0,2178.0,5.0,6.0,3.0,2.0,2025.0,No,No,Yes,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installment Plan Luxury 5 Marla Brand New House In Bahria Orchard Lahore,House,"Bahria Orchard, Lahore",17000000.0,1361.25,3.0,4.0,3.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installment Plan Luxury Brand New House In Park View City Lahore,House,"Park View City, Lahore",11500000.0,952.875,3.0,4.0,,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,House,"Park View City, Lahore",30000000.0,2722.5,5.0,6.0,,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
22 MARLA LUXURIOUS HOUSE FOR SALE IN DHA PHASE 6,House,"DHA Phase 6, DHA Defence",87300000.0,5989.500000000001,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22 Marla Corner Brand New Modern Bungalow Available For Sale At Ideal Location,House,"DHA Phase 6 - Block L, DHA Phase 6",85200000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Buy A 10 Marla House For sale In Allama Iqbal Town - Kamran Block,House,"Allama Iqbal Town - Kamran Block, Allama Iqbal Town",47500000.0,2722.5,4.0,5.0,,,2025.0,No,No,Yes,2,No,No,No,2,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
A 1 Kanal House Located In Lake City Is Available For sale,House,"Lake City, Raiwind Road",79500000.0,5445.0,5.0,5.0,,,2025.0,No,1,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
32 KANAL FARM HOUSE AVAILABLE FOR SALE AT THE HEART OF GREEN ACRE HOUSING SOCIETY WITH A+ CONSTRUCTION,House,"Green Acres Housing Society, Lahore",560000000.0,174240.0,6.0,7.0,4.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL BRAND NEW FULL HOUSE AVAILABLE FOR SALE IN WAPDA TOWN PHASE 1,House,"Wapda Town Phase 1, Wapda Town",95000000.0,5445.0,7.0,9.0,,,2025.0,No,1,Yes,2,Yes,Yes,No,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
"5 Marla Double Story House For Sale Al Haram Garden, Near Central Park A1 Block, Ferozepur Road Lahore",House,"Al Haram Garden - Block B, Al Haram Garden",9000000.0,1361.25,5.0,5.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Brand New 10 KV Solar Installed 10-Marla Semi-Furnished Full House with 10 KV Solar, Modern Interiors & Hot Location in DHA Phase 7 at Just 650-Lac(Negotiable) Rare Opportunity!",House,"DHA Phase 7, DHA Defence",65000000.0,2722.5,3.0,4.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Full Basement Modern Bungalow for sale in Phase 6 DHA,House,"DHA Phase 6, DHA Defence",92500000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100% orignal KANAL FULLY BASEMENT MAZHIR MUNIR DESIGN ULTRA MODERN FOR SALE,House,"DHA Phase 5 - Block H, DHA Phase 5",129500000.0,5445.0,6.0,6.0,,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prime Location Bismillah Housing Scheme - Iqbal Block House Sized 1125 Square Feet For Sale,House,"Bismillah Housing Scheme - Iqbal Block, Bismillah Housing Scheme",20000000.0,1361.25,4.0,5.0,,,2025.0,Yes,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Beautiful House Urgent For Sale With Gas,House,"Canal Bank Housing Scheme, Lahore",13500000.0,1089.0,4.0,4.0,,,2025.0,No,No,Yes,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Prime Location 3 Marla House Has Landed On Market In Bismillah Housing Scheme - Iqbal Block Of Lahore,House,"Bismillah Housing Scheme - Iqbal Block, Bismillah Housing Scheme",12000000.0,816.75,3.0,3.0,2.0,,2025.0,No,No,Yes,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Beautiful House Is Available For Sale In Model Town D BLock,House,"Model Town - Block D, Model Town",240000000.0,10890.0,5.0,5.0,,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55 Marla House Is Available For Sale In Model Town C Block Lahore,House,"Model Town - Block C, Model Town",310000000.0,14701.500000000002,6.0,6.0,,2.0,2025.0,No,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Brand New Beautiful Full Basement Furnished House Is Available For Sale In Model Town Lahore,House,"Model Town - Block G, Model Town",150000000.0,5445.0,8.0,8.0,,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NFC 26 MARLA DOUBLE STORY,House,"NFC 1, Lahore",68000000.0,7078.5,6.0,,6.0,2.0,2025.0,No,2,Yes,2,Yes,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No
Fully Renovated House Is Available For Sale In Model Town M Block,House,"Model Town - Block M, Model Town",80000000.0,5445.0,7.0,6.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-Marla Modern House For Sale Near Dolmen Mall Jalal Sons Closed To Defence Raya,House,"DHA Phase 6, DHA Defence",47500000.0,2722.5,5.0,5.0,2.0,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"""Prime 5 Marla Property in DHA Phase 6 Ideal for Modern Living & Investment",House,"DHA Phase 6, DHA Defence",27000000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ONE KANAL SOLID MODERN DESIGNE DIRECT APPRAOCH FROM MB PH6 NEAR TO SPORTS COMPLEX,House,"DHA Phase 6, DHA Defence",89000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New Top Quality Ultra Modern Luxury Villa For Sale In DHA,House,"DHA 9 Town, DHA Defence",21000000.0,1361.25,3.0,3.0,1.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 MARLA BRAND NEW HOUSE TOP LOCTION NEAR TO PARK NEAR TO DEFANCE RAYA,House,"DHA Phase 7, DHA Defence",42500000.0,2722.5,4.0,,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Investors Should Sale This House Located Ideally In Izmir Town,House,"Izmir Town - Block J, Izmir Town",46000000.0,2994.75,5.0,6.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beautiful New House For Sale,House,"Allama Iqbal Town, Lahore",60000000.0,2722.5,3.0,3.0,1.0,2.0,2025.0,No,No,Yes,2,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
6.11 Marla Like Brand New Bahria Town For Sale Lahore,House,"Bahria Town - Sector E, Bahria Town",18500000.0,1660.725,3.0,4.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL ULTRA MODERN STRAIGHT THEME HOUSE FOR SALE,House,"DHA Phase 6, DHA Defence",79500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Luxury house for sale In Central Park Housing Society,House,"Central Park Housing Scheme, Lahore",21500000.0,1361.25,3.0,4.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Well Maintained Modern Bungalow For Sale In Phase 4 Near Gold Crest Mall,House,"DHA Phase 4, DHA Defence",57500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Brand New Modern Bungalow For Sale In Phase 8,House,"DHA Phase 8 - Ex Park View, DHA Phase 8",260000000.0,10890.0,5.0,6.0,6.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Marla Brand New Luxury House For Sale,House,"Canal Point Housing Scheme, Harbanspura",13799999.999999998,816.75,3.0,4.0,1.0,2.0,2025.0,No,No,No,2,No,No,No,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
10 Marla Owner Build Solid Aconstruction House For Sale,House,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",43000000.0,2722.5,3.0,4.0,2.0,2.0,2025.0,No,No,Yes,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prominently-Located 5 Marla House Available In Azam Gardens - Haseeb Block,House,"Azam Gardens - Haseeb Block, Azam Gardens",19900000.0,1361.25,4.0,4.0,,,2025.0,No,No,Yes,2,No,No,No,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Corner Black Beauty Brand New 5-Marla Modern Marvel Elegant Bungalow For Sale,House,"DHA 9 Town - Block C, DHA 9 Town",21500000.0,1361.25,4.0,5.0,1.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Property For Sale In Eden Residencia Lahore Is Available Under Rs. 16500000/-,House,"Eden Residencia, Eden",15000000.0,1089.0,4.0,5.0,2.0,3.0,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand New Luxury House For Sale In DHA Lahore [Phase 5 ] Prime Location Near Park & Main Boulevard,House,"DHA Phase 5, DHA Defence",49900000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One Kanal Most Luxury Lavish Bungalow For Sale In DHA Lahore,House,"DHA Phase 6, DHA Defence",81500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Top Of The Line 1 Kanal Most Beautiful Modern House,House,"DHA Phase 7 - Block W, DHA Phase 7",67000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla House Available For Sale,House,"Bahria Town - Nishtar Block, Bahria Town - Sector E",19500000.0,1361.25,3.0,4.0,,,2025.0,No,1,Yes,2,No,Yes,No,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Classic Design Bungalow For Sale at Super Hot Location Near Raya,House,"DHA Phase 7 - Block Q, DHA Phase 7",78700000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Premium Furnished Penthouse in Askari 11, Lahore",House,"Askari 11, Askari",100000000.0,5445.0,4.0,5.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New House For Sale,House,"Nespak Housing Society Phase 3 - Block B, Nespak Scheme Phase 3",35000000.0,2178.0,5.0,6.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Designer House With Full Basement In DHA Phase 6 - 7400 Sqft,House,"DHA Phase 6, DHA Defence",200000000.0,5445.0,6.0,7.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SELF CONSTRUCTED BRAND NEW LUXURY HOUSE FOR SALE,House,"Tricon Village, Lahore",19000000.0,1361.25,3.0,4.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BOOK YOUR PREMIUM PENT HOUSE WITH 55 LAC AVAIL 30+ AMENITIES WITH OR POOL OR EIFFLE VIEW,House,"Bahria Town - Johar Block, Bahria Town - Sector E",5600000.0,2178.0,3.0,3.0,,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Like New Full House For Sale With Original Pics Attached,House,"Bahria Orchard Phase 1 - Eastern Extension, Bahria Orchard Phase 1",15500000.0,1361.25,3.0,4.0,1.0,1.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dream House For Sale In DHA Lahore,House,"DHA 9 Town, DHA Defence",21100000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Beautiful House For Sale In NFC 1,House,"NFC 1, Lahore",41500000.0,2722.5,5.0,5.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Near To Park 10 Marla House Available For Sale In Lake City Sector M-2A,House,"Lake City - Sector M-2A, Lake City",56500000.0,2722.5,6.0,6.0,,,2025.0,No,1,Yes,2,No,No,No,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No
A Block 5 Marla House For Sale,House,"Central Park - Block A, Central Park Housing Scheme",21000000.0,1361.25,4.0,5.0,1.0,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA BEAUTIFULL HOUSE WITH SOLID CONSTRUCTION OR IN LDA APPROVED AREA AVAILABLE FOR SALE IN NLC,House,"New Lahore City, Lahore",15000000.0,1361.25,3.0,4.0,,,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Top Location House For Sale Punjab Cooperative Housing Society,House,"Punjab Coop Housing Society, Lahore",35500000.0,2722.5,4.0,5.0,3.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla House For Sale At Bahria Orchard Lahore,House,"Bahria Orchard, Lahore",15500000.0,1361.25,6.0,7.0,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Spacious 1 Kanal House With Basement For Sale In DHA Phase 5 Prime Location,House,"DHA Phase 5 - Block G, DHA Phase 5",140000000.0,5445.0,5.0,5.0,2.0,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Brand New Fully Furnished Luxury House with Swimming Pool & Home Theater for Sale DHA Prime Location,House,"DHA Phase 6 - Block E, DHA Phase 6",350000000.0,10890.0,6.0,7.0,6.0,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla House For Sale In Takbeer Block Bahria Town Lahore,House,"Bahria Town - Takbeer Block, Bahria Town - Sector B",42000000.0,2722.5,5.0,6.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installment Plan Luxury 7 Marla Brand New House For Sale In Lake View City Lahore,House,"Lake City, Raiwind Road",32000000.0,1905.75,4.0,5.0,5.0,,2025.0,Yes,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Centrally Located Prime Location House Available In Central Park - Block A For sale,House,"Central Park - Block A, Central Park Housing Scheme",35000000.0,2722.5,4.0,5.0,2.0,,2025.0,No,1,Yes,2,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
Premium 2 Bed Apartment For Sale On Instalments At Main MM Alam Road Gulberg III Lahore,Flat,"B45 Residential Apartments, MM Alam Road",37000000.0,1415.7,2.0,3.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Task Estate Offer Hot Location 2Kanal House For Sale 70Ft Road Near To Park,House,"DHA Phase 2, DHA Defence",134500000.0,10890.0,5.0,6.0,6.0,2.0,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal House For Sale In Model Town,House,"Model Town, Lahore",80000000.0,5445.0,6.0,8.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fully Furnished 1 Kanal Brand New Ultra Modern Design Bungalow For Sale,House,"DHA Phase 7 - Block U, DHA Phase 7",68500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FULL BASEMENT 01 KANAL BRAND NEW A PLUS CONSTRUCTION MODERN HOUSE FOR SALE,House,"DHA Phase 6 - Block J, DHA Phase 6",86500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Next To Corner House For Sale In Punjab CHS LHR Cantt Near DHA Phase 4 AA,House,"Punjab Coop Housing Society, Lahore",36500000.0,2722.5,4.0,5.0,3.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla House Available For Sale In Bahria Orchard Phase 1,House,"Bahria Orchard Phase 1, Bahria Orchard",31500000.0,2722.5,5.0,6.0,2.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
